mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
berdouille,Boue.,non,oui
berlaffe,"Forte gifle, grosse claque.",non,non
bexon,Vélo.,non,non
bheu,"Herbe, cannabis.",non,non
bibitif,"Où l’on boit beaucoup, où l’on consomme beaucoup de boisson alcoolisée.",non,non
bicommunautaire,Qui concerne les communautés francophone et néerlandophone.,non,oui
bidon,Vaisselle.,non,oui
biesse,"Idiot, bête.",non,oui
biesserie,"Bêtise, chose sans importance.",non,non
bihoraire,"Qualifie un compteur, un relevé, un tarif, considérant séparément la consommation d’électricité en heures dites pleines et celle en heures dites creuses.",non,non
bille,Traverse de chemin de fer.,non,oui
biloque,Prune.,non,oui
binamé,"Personne ridicule, qui se tourne elle-même en dérision. | Personne un peu bête mais pas méchante(C’est un gentil)",non,non
biquer,Rebiquer.,non,oui
bisbrouille,Petite querelle futile entre deux personnes.,non,non
bisquer,Avoir du dépit ou de l’humeur.,non,oui
bisser,Redoubler un niveau de classe.,non,oui
bisseuse,Élève qui reprend un niveau de classe au lieu de passer au niveau supérieur.,non,non
bistoquer,"Offrir des cadeaux, des petits bouquets… à.",non,oui
bitu,Ivre.,non,oui
bleffer,Baver.,non,non
bleu,"Passionnément amoureux de quelqu’un. | Personne nouvellement arrivée en première année d’étude supérieure (baccalauréat ou candidature), qui garde ce titre jusqu’à la fin de son baptême.",non,oui
bleuette,"Féminin de bleu, étudiante ayant commencé son baptême estudiantin (en haute école ou à l'université) au début de l'année académique, garde ce titre jusqu’à la fin de l'année académique (devient ensuite une ""plume"" ou une ""commitarde"") bien que l'on fasse une différence entre les ""bleuettes sales"" (avant le baptême) et les ""bleuettes propres"" (aprés le baptême).",non,oui
bleusaille,"Période de préparation initiatique vécue par le nouvel étudiant belge, le bleu, avant le baptême estudiantin.",non,oui
blindicide,Qui peut percer les blindages. | Arme qui peut percer les blindages.,non,non
blinquant,"Brillant, reluisant.",non,oui
blinquer,"Reluire, briller.",non,non
blochet,"Boîte d’encastrement, autrefois constituée d’un petit bloc en bois creusé, aujourd’hui en plastique, destinée à recevoir un appareillage électrique (prise, interrupteur).",non,oui
blocus,Période sans cours dans l’enseignement supérieur et l’enseignement universitaire qui permet aux étudiants de préparer leurs examens.,non,oui
bloque,Période de révision avant les examens universitaires.,non,oui
bloquer,"Étudier, bûcher en période de blocus.",non,oui
bobonne,"Grand-mère, femme âgée (mémère).",non,oui
boding,"Sorte de pain perdu fait avec du pain rassi trempé dans du lait, cuit au four et servi recouvert de raisins secs.",non,oui
boiler,Chauffe-eau.,non,oui
bolus,Pâtisserie à base de raisin. On écrit aussi baulus.,non,oui
bon-papa,Appellation affectueuse pour le grand-père.,non,non
bonbon,"Sucrerie, friandise faite avec du sucre. Dans le langage des enfants, ce mot désigne toute sorte de friandise.; Petit biscuit sec.",non,oui
bonne-maman,Appellation affectueuse pour la grand-mère.,non,non
bonnier,Borne ou pierre servant de limite.,non,oui
borin,Ouvrier des mines de charbon du Nord de la France et de la province de Belgique directement limitrophe.,non,oui
Borinage,"1. Il désigne historiquement une région industrielle belge de la province de Hainaut, à l'ouest et au sud-ouest de Mons, façonnée par l'extraction du charbon. | 2. En langage technique ou littéraire, il fait référence à l'ensemble des ouvriers mineurs ou au travail des houillères.",,
botteresse,Colporteuse qui transportait ses marchandises dans une hotte en osier.,non,non
boudet,"Panier de griveleux, fabriqué des bois tressé.",non,oui
boudin,Traversin.,non,oui
boudine,Ventre.,non,oui
bouffon,"Gourmand, personne qui ne pense qu’à manger.",non,oui
boule,"Bonbon, friandise. | Chapeau melon.",non,oui
boulet,"Dans le pays de Liège, un plat de boulette de viande servie en sauce.",non,oui
bourgmestre,"Titre du premier magistrat des villes de Belgique, du Luxembourg, des Pays-Bas, d’Allemagne, etc.",non,oui
bourrelet,coussin ou pli de graisse,,
bourlette,"Boule, tête, tumeur arrondie, renflement au bout d’un bâton.",non,oui
bourlotte,Variante de bourlette; renflement au bout d'un bâton.,non,oui
bourré,Rassasié.,non,oui
boustringue,Hareng saur.,non,non
