mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
faude,Fosse ou silo pour faire le charbon de bois.,non,oui
fauder,Consumer comme un charbon de bois dans son four.,non,oui
faux-grenier,"Grenier qui, sous la toiture, sert de débarras.",non,non
fieu,"Gars, garçon, vieux. (toujours au vocatif) ",non,oui
filet-poubelle,"Poubelle sous forme de filet ou de réceptacle grillagé placé sur un support, située le long d’une route, permettant de se débarrasser de détritus divers depuis un véhicule.",non,non
fisquemalle,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
flamin,Flamand.,non,non
flamingantisme,Activisme politique des flamingants.,non,non
flamouche,Flamand.,non,oui
flappie,Flamand.,non,oui
flat,"Appartement d’une seule pièce spacieuse, studio, loft.",non,oui
flatte,Excrément de bovin.,non,oui
flexijob,Variante orthographique de flexi-job.,non,oui
flexijobeur,Variante orthographique de flexi-jobeur.,non,non
flexijobeuse,Variante orthographique de flexi-jobeuse.,non,non
floche,"Sorte de passant ou pompon dont les fibres sont torsadées ou non et qui termine une corde, un textile ou qui est suspendu pour décorer. | Sexe masculin. | Pet foireux. | Fausse note.",non,oui
flèche,Sorte de pantographe en forme de hampe équipant les tramways.,non,oui
foire,"Fête foraine, kermesse.",non,oui
folart,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
folder,"Support publicitaire imprimé (dépliant, brochure, tract, etc…).",non,oui
fondue,Bouchée de fromage fondu pannée.,non,oui
fossile,Étudiant ayant choisi de ne pas passer le rite du baptême.,non,oui
fourche,Heure libre entre deux heures de cours.,non,oui
fransquillonner,"Parler le français de façon affectée, en évitant de montrer son accent.",non,non
frigolite,"Mousse blanche et compacte, constituée de polystyrène expansé, utilisée le plus souvent comme isolant thermique et comme emballage.",non,non
frigotartinable,"Que l'on peut tartiner dès la sortie du réfrigérateur, qui est assez tendre même froid.",non,non
frisco,Crème glacée de type esquimau.,non,non
fritabilité,Aptitude des différents cultivars de pommes de terre à être transformés en frites.,non,non
fritkot,Friterie.,non,non
friture,Friterie.,non,oui
fromagie,Mélange de fromage blanc avec de la crème fraîche.,non,non
fromagiez,Mélange de fromage blanc avec de la crème fraîche.,non,oui
frotte-manche,"Flatteur, lèchecul, lèche-botte.",non,non
frotteur,Petite brosse pour tableau noir.,non,oui
froucheler,"Tripoter, peloter, faire des papouilles.",non,non
froumagire,Mélange de fromage blanc avec de la crème fraîche.,non,non
frouze,Français.,non,non
frœbélien,"Enseignant dans une école maternelle, un jardin d’enfants.",non,oui
gadot,Déambulateur.,non,oui
galette,Crème glacée placée entre deux gaufrettes (similaire au corte en Espagne). | Gaufrette. | Sorte de pain.,non,oui
gatte,Chèvre.,non,oui
gayole,"Cage enfermant des petits animaux de compagnie (oiseaux, etc.). | Cage, but. | Prison.",non,oui
gayolle,"Cage enfermant des petits animaux de compagnie (oiseaux, etc.). | Cage, but. | Prison.",non,non
gerbière,"Lucarne pendante ou passante, dite également lucarne meunière ou lucarne engagée.",non,oui
Glem,"Groupement de professionnels de la santé ayant pour but la promotion des bonnes pratiques et l’amélioration des soins, par le partage et l’évaluation de leur pratique.",non,non
gletter,"Saliver, baver.",non,non
godferdek,Nom de Dieu.,non,non
gosette,"Chausson (spécialité pâtissière faite d’une feuille de pâte à tarte repliée sur des fruits cuits : pommes, abricots, cerises).",non,non
gougouille,Friandise ; sucrerie.,non,non
goulaf,"Goinfre, glouton. Belgique et Nord-Est de la France",non,non
goulafe,"Goinfre, glouton. Belgique et Nord-Est de la France",non,non
goulafre,"Goinfre, glouton. Belgique et Nord-Est de la France",non,non
gouttiner,Pleuvoir un petit peu.,non,non
goûter,"Avoir le goût de, avoir goût à.",non,oui
graduat,Études supérieures réalisées généralement en trois ans jusqu'à l'application de la réforme de Bologne dans l'enseignement belge. Le terme de graduat a été remplacé depuis septembre 2004 par baccalauréat. Ce changement s'est souvent accompagné d'une modification du contenu des formations.,non,oui
gradué,Grade attribué à la fin d’un cursus d’enseignement supérieur court.,non,oui
griffe,Éraflure sur un objet ou égratignure sur la peau.,non,oui
grouler,Gronder ; grommeler. | Faire des borborygmes.,non,oui
gruette,"Ensemble des abats composé du foie, du cœur, du mésentère et des poumons principalement du sanglier, du chevreuil mais aussi de tout autre animal.",non,oui
grusiner,Grignoter quelque chose de croquant.,non,non
guindaille,"Fête estudiantine, en particulier après la fin des examens ou en période de baptême d’étudiants.",non,oui
guindailler,Faire la fête (généralement en buvant beaucoup). Utilisé surtout par les étudiants.,non,non
guindaillesque,Relatif à la guindaille ; à la célébration estudiantine du folklore belge.,non,non
guindailleur,Personne qui participe à une guindaille.,non,non
guindailleuse,Femme qui participe à une guindaille.,non,non
guinze,Cuite.,non,oui
général-major,Général de division ou major général.,non,non
hamaï,Sorte d'interjection propre aux Bruxellois qui a le sens de « ça alors ».,non,non
herdeau,Herdal.,non,non
hiercheuse,Variante orthographique de hercheuse.,non,non
hippothérapie,Synonyme de équithérapie.,non,oui
holebi,"Homosexuel, lesbienne ou bisexuel. | Qui est homosexuel, lesbienne ou bisexuel.",non,oui
home,Institution spécialisée dans l’accueil d’une catégorie de personnes.,non,oui
honteux,"Mauvais, vilain.",non,oui
horeca,"Hôtellerie-restauration, (secteur comprenant l’hôtellerie, la restauration, les cafés).",non,oui
horlogique,Dans le sens des aiguilles d’une montre,non,non
houilleux,Variante de houilleur.,non,oui
huberlu,Hurluberlu.,non,non
humanité,Enseignement secondaire en Belgique.,non,oui
humanités,"Enseignement secondaire, correspondant au lycée, au collège ou à l'athénée, selon le réseau.",non,oui
héez,Hallier ou lande sur une éminence ou un mont.,non,non
ici-dedans,À l’intérieur de cet endroit.,non,non
immunisable,"Qui peut faire l’objet d’une réduction d’impôt, d’un avantage fiscal.",non,oui
immuniser,"Dispenser d’impôt, offrir un avantage fiscal.",non,oui
incivique,"Pendant la Seconde Guerre mondiale, collaborateur nazi",non,oui
indaguer,Enquêter.,non,non
informateur,Personne chargée d’identifier les défis de l'État et d’explorer les possibilités et conditions nécessaires à la formation du gouvernement fédéral.,non,oui
informatrice,Celle qui est chargée d’identifier les défis de l’État et d'explorer les possibilités et conditions nécessaires à la formation du gouvernement fédéral.,non,oui
instiguer,"ou ou Pousser quelqu’un à faire une action généralement mauvaise, inciter.",non,non
intensiviste,Médecin spécialiste en soins intensifs.,non,oui
jambot,Jeune qui travaille dans les houillères du Hainaut.,non,non
jatte,Tasse. Spécialement : (a) tasse de café (contenu seulement) ; (b) tasse de ou à soupe (contenant ou contenu) ; mug.,non,oui
jeannette,"Insulte homophobe, tapette.",non,oui
jobiste,Étudiant qui exerce un job de vacance.,non,non
jouette,Personne encline à s’amuser pour des riens.,non,oui
jubilaire,"Dont on fête un jubilé, un anniversaire. | Personne dont on fête un jubilé, un anniversaire.",non,oui
jubilariser,Mettre à la retraite.,non,non
kap,Kot dans lequel six à quatorze étudiants vivent ensemble et s’organisent autour d’un projet collectif dans un domaine précis.,non,oui
kapiste,Personne étudiante qui participe avec ses colocataires à un projet subventionné par une école supérieure et ayant pour but d’animer le campus.,non,oui
kapstok,Portemanteau.,non,oui
karabouya,Bonbon à la réglisse et à l’anis de couleur noire.,non,non
kern,Comité restreint de ministres.,non,oui
kernet,Conduit d'aération dans les mines. Royon.,non,oui
ket,"Un jeune, un gosse. | Surnom affectueux.",non,oui
ketje,P’tit gars.,non,non
kicker,"Baby-foot, football de table.",non,oui
kinésiste,Kinésithérapeute.,non,non
kip-kap,Spécialité belge de charcuterie.,non,non
klacher,Autre orthographe de clacher.,non,non
klet,"Incapable, idiot.",non,oui
kot,"Chambre, maison ou appartement loué par un étudiant et situé près de son université ou sa haute école.",non,oui
koter,"Loger dans une chambre, une maison ou un appartement d'étudiant.",non,oui
koteur,Étudiant ou étudiante qui loge dans un kot.,non,non
koteuse,Étudiante qui loge dans un kot.,non,non
labbekak,"Pleutre, poltron. | Bavard.",non,oui
lange,Couche. (Linge ou bande absorbante à l’usage des enfants.),non,oui
lapette,Café trop léger.,non,non
lard,Friandise molle de forme allongée du genre guimauve composée de deux bandes de couleur rose et blanche.,non,oui
latte,Règle plate graduée. | Barre transversale au football.,non,oui
lavasse,sauf : Averse soudaine et abondante.,non,oui
lettré,Qui sait lire et écrire.,non,oui
liards,Argent (Toujours au pluriel).,non,oui
lichette,"Petite attache, faite de tissu, d’une serviette ou chaînette métallique dans le col d’un vêtement (de pluie), servant à les suspendre.",non,oui
lift,"Auto-stop et, comme en québécois, transport fourni, généralement en voiture.",non,oui
locher,"Secouer, branler. Se disait souvent du fer d’un cheval. Avoir un fer qui loche : Être incommodé.",non,oui
loempia,Variante de lumpia.,non,non
logopède,"Professionnel de la logopédie ou orthophonie, la thérapie du langage.",non,non
logopédie,"Art de prononcer correctement, de corriger les défauts de prononciation.",non,non
loque,"Serpillière, chiffon.",non,oui
loverboy,Proxénète débutant une relation amoureuse avec une femme pour ensuite l’obliger à se prostituer.,non,oui
lumer,"Approcher de la lumière, éclairer un objet. ",non,oui
lumerotte,Lampe qui diffuse une faible lumière. | Betterave évidée garnie d'une bougie. | Feu follet.,non,non
lumpen,Nom donné à Anvers au poisson appelé lompe.,non,oui
légumier,Marchand ou vendeur de légumes.,non,oui
maatje,"Jeune hareng pêché alors qu’il n’a ni laitance ni œufs (entre la mi-mai et la mi-juillet), qui se mange cru et salé.",non,oui
maclotte,Danse wallonne.,non,oui
malaisant,"Qui cause un malaise, une situation d’inconfort face au comportement d’une autre personne ou à un événement incompréhensible.",non,oui
malappétissant,Qui n’est pas appétissant.,non,non
mallette,"Cartable, sac d’école.",non,oui
mamé,"adorable, mignon.",non,oui
manche-à-balle,Étudiant fayot.,non,oui
mandaye,Homme à tout faire ; manœuvre ; arcandier,non,oui
mandaï,Homme à tout faire ; homme de peine ; manœuvre.,non,oui
mansionnaire,Masuir.,non,oui
maquée,Fromage blanc.,non,oui
margaille,"Grand désordre, pouvant aller jusqu’à l’échauffourée, la bagarre.",non,non
marier,ou Épouser.,non,oui
marollien,Français argotique parlé à Bruxelles.,non,oui
maroxellois,Homme d’origine marocaine ayant grandi dans la Région de Bruxelles-Capitale.,non,oui
marquoir,"Tableau d’affichage des scores dans les sports collectifs. | ou Système de marquage des points au billard français, initialement sous la forme d’un boulier accroché à un mur, puis électrique et enfin électronique.",non,oui
masterisation,"Dans l'enseignement, le fait de mettre (une formation, un diplôme,...) au niveau de master.",non,oui
masuir,"Membre d'une communauté villageoise propriétaire de biens ou de droits d'usage, communaux ou collectifs.",non,non
matante,"Terme surtout connu comme un canadianisme (au Québec), mais il possède aussi un usage populaire et régional en Belgique (notamment dans le Hainaut). Il signifie simplement « ma tante », souvent soudé en un seul mot par affection ou habitude de langage.",non,oui
maturité,"Baccalauréat, certificat attribué à la fin des études secondaires. | Ce diplôme lui-même.",non,oui
mauve,"Violet (les couleurs mauve et violet y sont parfois distinctes, souvent pas). #8806CE",non,oui
maxidiscompte,"Magasin libre-service à prédominance alimentaire qui se caractérise par des prix très bas, une petite surface de vente et un assortiment de produits restreint.",non,oui
mayeur,Officier municipal. | Bourgmestre.,non,non
mayeure,Officière municipale. | Femme bourgmestre.,non,non
mayoral,Variante orthographique de maïoral.,non,oui
mayoresse,Officière municipale.,non,oui
mazout,Boisson faite à partir du mélange de bière blonde et de cola.,non,oui
maïoral,"Relatif au maïeur, au bourgmestre ou à sa fonction, le maïorat.",non,non
maïorat,Fonction du maïeur (maire).,non,non
maïoresse,Variante orthographique de mayoresse.,non,non
mencaudée,Ancienne unité de surface agraire valant environ 35 à 45 ares selon les lieux.,non,non
merveilleuse,"Cocktail composé d'une bière trappiste et d'un apéritif, généralement du porto.",non,oui
merveilleux,"Gâteau cylindrique fait avec de deux meringues collées avec une crème, puis couvertes crème chantilly le tout décoré de copeaux de chocolat noir.",non,oui
meï,Fille.,non,non
mijole,"Jeu consistant à lancer des jetons dans un bac. | Personne pleutre, efféminée ou superficielle. | Sexe des femmes.",non,oui
mijoler,Coucher avec une femme. | Flirter. | Donner des caractéristiques de mijole à (quelque chose).,non,non
minerval,Frais d’inscription à l’université.,non,oui
minimex,"Revenu minimum, remplacé en 2002 par le revenu d’intégration.",non,non
minimexer,Attribuer le minimex à.,non,non
minimexé,Bénéficiaire du minimex.,non,oui
minitrip,"Voyage de détente de courte durée, virée.",non,non
minque,Halle au poissons.,non,non
mitraillette,"Demi-baguette dans laquelle on met des frites, une viande cuite à la friture et éventuellement de la sauce.",non,oui
mob,Brosse pour faire les coins.,non,oui
mobilophone,Téléphone mobile.,non,oui
mobilophoner,Téléphoner en utilisant un téléphone portable.,non,non
moffler,"Recaler, en parlant d’un candidat à un examen.",non,non
mofler,Recaler (un candidat à un examen).,non,oui
molière,Richelieu (type de chaussure).,non,oui
moniteur,Journal officiel qui édite la législation nouvelle.,non,oui
mononcle,"Terme familier issu de l'influence du wallon (mi mononke) qui désigne l'oncle, tout comme l'expression semblable ma matante pour la tante.",non,oui
moscovite,Relatif au quartier Moscou de Gand.,non,oui
mouchette,Petite mouche.,non,oui
mousiner,Pleuvoir d’une pluie fine.,non,non
moutonnerie,Boucherie spécialisée en viande de mouton.,non,oui
myrtillier,Arbrisseau de petite taille sur lequel poussent les myrtilles.,non,non
méconduire,Se conduire mal.,non,non
méconduite,Mauvaise conduite.,non,oui
médian,Jouer milieu de terrain au foot,non,oui
mêle-tout,Personne qui s’occupe de ce qui ne la regarde pas.,non,non
mêletout,Personne qui s’occupe de ce qui ne la regarde pas.,non,non
nareux,"Qui ressent un dégoût compulsif à l’idée d’une saleté ou d’un manque d’hygiène de ce qui entre en contact avec la nourriture, vaisseaux, ustensiles et cuisiniers.",non,non
national-royalisme,"Idéologie politique de droite radicale mêlant nationalisme, royalisme et populisme.",non,non
nenni,ou Expression négative qu’on emploie pour marquer un refus catégorique ou encore par plaisanterie dans les réponses.,non,oui
nominette,Étiquette nominative.,non,non
nonantaine,"Nombre d’environ nonante, quatre-vingt-dix. | Âge d’environ nonante ans.",non,non
nonante,90.,non,oui
nonante-cinq,95.,non,non
nonante-deux,92.,non,non
nonante-et-un,91.,non,non
nonante-huit,98.,non,non
nonante-neuf,99.,non,non
nonante-quatre,94.,non,oui
nonante-sept,97.,non,non
nonante-six,96.,non,non
nonante-trois,93.,non,non
nonantenaire,Âgé de quatre-vingt-dix à quatre-vingt-dix-neuf ans.,non,non
nonanter,"Se dit, au piquet, quand on a en main trente points, et que l’on compte nonante (ou quatre-vingt-dix). On dit aujourd'hui : faire quatre-vingt-dix.",non,non
nonantième,Qui concerne l’ordinal ou la fraction nonantième. | Nombre ordinal qui répond à l’adjectif numéral nonante.,non,oui
noquette,Petite quantité.,non,oui
nounouille,"Personne douillette, sensible à la douleur, qui crie ou pleure facilement de douleur.",non,non
nuton,"Petite créature du folklore et des croyances populaires des Ardennes françaises et de la Belgique, très proche du lutin.",non,non
nutonne,"Femme du nuton, petite créature du folklore et des croyances populaires des Ardennes françaises et de la Belgique, très proche du lutin.",non,non
oberbayern,Fête bavaroise de la bière.,non,non
optimalisation,"Fait d’optimaliser ou d’optimiser, de rendre optimal, ou résultat de cette action.",non,non
orangisme,Mouvement de soutien aux membres de la maison d'Orange-Nassau.,non,oui
ordonnance,Acte législatif voté par le Parlement de la région de Bruxelles-Capitale.,non,oui
orthopède,Orthopédiste.,non,non
oufti,"Interjection qui marque la surprise, l’étonnement ou le soulagement.",non,non
pachis,"Terrain clos, où paissent les bêtes.",non,non
pachî,Variante de pachis.,non,non
Paki,Night-shop.,non,oui
panade,"Repas pour bébé, composé de fruits ou de légumes écrasés.",non,oui
panner,Saisir un meuble pour sûreté de paiement.,non,oui
parastatal,Paraétatique.,non,non
parlophone,"Dispositif acoustique électronique interne à un immeuble, placé à l’entrée et dans une ou plusieurs pièces de celui-ci, afin d’en contrôler l’accès à l’aide d’un ouvre-porte.",non,non
parson,Part de propriété dans une mine de houille.,non,oui
passet,"Petit banc pour reposer les pieds, pouvant aussi servir de marchepied ou de tabouret.",non,oui
patro,"Patronage, mouvement de jeunesse.",non,oui
pause-carrière,Période de temps déterminée durant laquelle quelqu’un se retire de son travail.,non,non
pelant,"Lassant, ennuyeux, assommant.",non,oui
penne,"Casquette traditionnelle à longue visière portée par des étudiants des universités non-confessionnelles, ornée de petits objets qui reflètent le parcours festif ou initiatique de son propriétaire.",non,oui
pensionné,Retraité.,non,oui
pensionnée,Retraitée.,non,oui
perpétuité,Condamnation à la prison pour une durée d'une dizaine d’années.,non,oui
pesteller,Trépigner; faire les cent pas.,non,non
peï,"Type, gars, homme souvent âgé.",non,non
philosophe,Plat à base de purée de pommes de terre et de viande hachée.,non,oui
piace,Place.,non,oui
pierre-papier-ciseaux,"Pierre-feuille-ciseaux, jeu de main à 3 positions.",non,non
pincette,"Fait de se blesser, et bien souvent de se faire une ampoule pleine de sang, en se pinçant.",non,oui
pipe,Petite saucisse sèche d’Ardenne.,non,oui
piron-pareil,"Se dit de choses présentées comme différentes mais qui sont, en fait, identiques ou très similaires.",non,non
pissodrome,Urinoir.,non,non
pistier,Coureur qui roule principalement sur piste.,non,non
pistière,Coureuse qui roule principalement sur piste.,non,non
pistolet,Petit pain rond marqué par un pli médian.,non,oui
piétonnier,Rue ou zone piétonne.,non,oui
plafonnage,"Action d'enduire et de lisser toute surface, horizontale ou verticale, au plâtre ou avec un mortier de chaux ou de ciment hydraulique.",non,oui
plasticine,Pâte à modeler.,non,oui
platteuse,Dentellière qui confectionne les fleurs en plat aux fuseaux.,non,non
plouc,Soldat sans grade.,non,oui
plume,Étudiante ayant passé le rite du baptême qui bizute les bleus ; équivalent féminin du poil.,non,oui
plumier,"Trousse, étui en général.",non,oui
pluxer,"Aller boire un verre entre collègues de travail à la Place du Luxembourg (Plux) à Bruxelles, le plus souvent le jeudi soir.",non,non
poeppers,Peur.,non,non
poil,Étudiant ayant passé le rite du baptême qui bizute les bleus ; équivalent masculin de la plume.,non,oui
polar,Polaire.,non,oui
pomérance,"Procédé, bout en cuir de queue de billard.",non,non
poque,"Coup, blessure, marque sur un fruit ou un objet.",non,oui
postainier,Étainier.,non,non
postposer,Remettre quelque chose à plus tard.,non,oui
posture,Statue.,non,oui
potale,Trou dans le sol.,non,oui
poter,Boire un pot.,non,oui
potiquet,Petit récipient.,non,oui
potopote,"Boue, gadoue",non,oui
potstainiers,Pluriel de potstainier.,non,non
poucave,"Prostitué, prostituée.",non,oui
pouercht,"Synonyme de baraki. Utilisé beaucoup dans la région du Centre, province de Hainaut.",non,non
pouf,"Au hasard, au jugé ou sans réfléchir",non,oui
pougner,Tirer au sort à l’aide d’un bâton.,non,oui
pouhon,Source d’eau gazeuse contenant du fer.,non,non
poujain,"Personne dégoûtante, porc. | Personne qui ne respecte pas la bienséance.",non,non
poupa,Papa.,non,oui
poupouille,Chat.  Terme affectueux utilisé en Wallonie pour parler d'un chat domestique.,non,non
poésie,"Classe de cinquième secondaire, équivalente à la première française, où l’on enseigne la poésie.",non,oui
poêlon,Casserole à manche.,non,oui
praline,"Petite friandise au chocolat fourré vendue dans des ballotins, prisées en Belgique.",non,oui
prescrit,Recommandation explicite.,non,oui
prestation,Performance.,non,oui
prester,Assurer en tant que prestation.,non,oui
prober,Essayer.,non,non
promoteur,Directeur de thèse.,non,oui
promériter,"Avoir droit à, en parlant d’un salaire, une prestation, etc.",non,non
province,"Division administrative du pays, équivalent de département en France.",non,oui
préfet,"Directeur administratif d’un athénée, un établissement d’enseignement secondaire.",non,oui
préfète,"Directrice administrative d’un athénée, un établissement d’enseignement secondaire.",non,oui
prélocuteur,Procureur.,non,non
prépension,Allocation de chômage majorée pour les travailleurs qui sont licenciés après un certain âge.,non,non
prépensionner,Faire bénéficier d’une préretraite.,non,non
puuteler,Autre orthographe de pûteler.,non,non
pète,Échec scolaire dans une matière précise.,non,oui
péréquater,"Assurer une péréquation, répartir. | Indexer, en particulier pour tenir compte de l’inflation.",non,non
pételle,"Fiente, crotte dure et sèche de certains petits animaux comme la brebis, la chèvre, la souris, etc.",non,non
pûteler,Peloter (quelqu’un).,non,non
quantième,Désigne le rang ou l’ordre dans une série.,non,oui
quertinée,Hottée.,non,non
quette,Pénis.,non,oui
quetter,Copuler.,non,oui
quimper,Se mettre sur son trente-et-un.,non,oui
rabiner,Couper l'arbre le plus près possible de terre et arracher soigneusement les racines.,non,oui
rabote,Pomme en croûte.,non,oui
racagnac,"Crécelle, Tire-fort, cric.   Râleur, généralement précédé de vieux. ",non,oui
raccuser,"Rapporter, dénoncer, venir se plaindre de l'action d'autres enfants (auprès des parents, de l'institutrice).",non,non
racrapoter,Se recroqueviller.,non,non
racrapoté,Recroquevillé.,non,oui
racuspoter,"Action d'un enfant de rapporter, de venir se plaindre, en général de l'action d'autres enfants (auprès des parents, de l'institutrice).",non,non
ramassette,Pelle à balai.,non,oui
ramponeau,Filtre à café.,non,oui
ramponneau,Filtre à café.,non,oui
ran,Toit à porcs.,non,oui
rang,Nom du toit à porcs.,non,oui
ratchète,"Perforateur à main avec un système de cliquet, utilisé dans les mines. Sorte de gros vilebrequin à cliquet.",non,non
rattachisme,"Courant qui, au sein du Mouvement wallon, prône la réunion de la Wallonie, voire de Bruxelles, à la République française.",non,non
rattachiste,"Relatif au rattachisme, courant qui prône la réunion de la Wallonie à la République française. | Celui, celle qui est partisan du rattachisme, courant qui prône la réunion de la Wallonie à la République française.",non,non
rawette,Petit rajout. | Petite quantité de quelque chose.,non,non
rawète,Lien de paille tressé utilisé autrefois pour confectionner des gerbes de blé. ^([1]) | Rab de marchandise qu'un marchand offre à un client.,non,non
reberdeller,Berdeller à nouveau.,non,non
rebleffer,Bleffer à nouveau.,non,non
reblinquer,Blinquer à nouveau.,non,non
reclaper,"Claper à nouveau, refermer.",non,non
recyparc,Endroit pour le dépôt sélectif des déchets encombrants ou susceptibles d'être recyclés.,non,non
recypark,Endroit pour le dépôt sélectif des déchets encombrants ou susceptibles d'être recyclés.,non,non
redire,Confirmer. | Tenir au courant.,non,oui
redracher,Dracher à nouveau.,non,non
reiter,Reître.,non,oui
reloquetage,Action de passer la serpillère.,non,non
reloqueter,"Nettoyer sommairement (le carrelage d'une pièce), à l'aide d’une serpillière humide, elle-même fixée au bout d'une raclette (instrument constitué de deux lamelles de mousse ou de caoutchouc fixées au bout d'un manche de bois).",non,non
renon,Résiliation d’un contrat.,non,oui
reprocher,Causer des renvois gastriques.,non,oui
resonner,Téléphoner à nouveau à.,non,oui
rest-o-pack,Sachet ou petite boîte dans laquelle les clients d’un restaurant peuvent emporter les restes de leur repas.,non,non
reward,Nom donné autrefois à Bruges au chef de jurés élu par les échevins.,non,oui
rhéto,"Rhétoricien ou rhétoricienne, élève de classe terminale de l’enseignement secondaire belge. | Classe de rhétorique, classe terminale de l’enseignement secondaire belge.",non,oui
rhétoricien,"Élève de classe terminale de l’enseignement secondaire, classe appelée rhétorique, qui existait en France et qui existe encore en Belgique.",non,oui
rhétoricienne,"Élève de classe terminale de l’enseignement secondaire, classe appelée rhétorique, qui existait en France et qui existe encore en Belgique.",non,oui
rhétorique,Classe de sixième secondaire où on enseigne la rhétorique. Équivalent de la terminale en France.,non,oui
rince-cochon,Bière que l’on boit en fin de repas.,non,oui
ring,"Autoroute faisant le tour d’une ville, boulevard périphérique, rocade.",non,oui
rombosse,Pâtisserie traditionnel composée d'une pomme entière saupoudrée de sucre glace provenant du patrimoine Verviétois.,non,non
rond-point,Intersection en anneau de type carrefour giratoire par sa forme et/ou éventuellement par sa réglementation dont le centre n’est pas accessible aux véhicules motorisés automobiles.,non,oui
roofing,Revêtement imperméable utilisé pour couvrir les toits et terrasses.,non,oui
rouf-rouf,Précipitamment et sans apporter le soin nécessaire.,non,oui
roulage,Conduite de véhicule.,non,oui
routier,"Demi-baguette dans laquelle on met des frites, une viande cuite à la friture et éventuellement de la sauce.",non,oui
routiné,Routinier.,non,oui
réciproquer,Accomplir un geste symétrique à celui de son interlocuteur.,non,non
réclame,"Promotion, réduction.",non,oui
rédimé,Qualifie les territoires qui furent attribués à la Belgique aux dépens de l'Allemagne après la Première Guerre mondiale.,non,oui
régendat,Diplôme obtenu par trois ans d'études non universitaires après le secondaire.,non,non
rétroactes,Faits passés d'une affaire qui ont une influence sur l'état présent de celle-ci.,non,non
réunionisme,"Courant qui, au sein du Mouvement wallon, prône la réunion de la Wallonie, voire de Bruxelles, à la République française.",non,non
réviseur,Expert indépendant chargé de contrôler les comptes annuels des entreprises.,non,oui
salaire-poche,"Salaire perçu par le salarié, après prélèvement des cotisations.",non,non
salukes,Salut.,non,non
sartable,Qualifie un terrain qui est susceptible d’être essarté.,non,non
sartager,"Essarter, sarter.",non,non
savoir,Pouvoir,non,oui
savonnade,Eau savonneuse.,non,oui
scabinal,Relatif à la fonction des échevins.,non,oui
scampi,Grosse crevette cuisinée ou non à la façon des scampi fritti italiens.,non,oui
scheilzat,Saoul.,non,non
schiedam,"Eau-de-vie de grain parfumée au baies de genièvre, équivalent local du gin.",non,non
schlague,"Punition, correction physique.",non,oui
schloek,Gorgée.,non,non
schlouk,Gorgée.,non,non
schmet,Personnage sournois.,non,non
Scott,Essuie-tout.,non,oui
scouter,Regarder (des sportifs) en action pour essayer de détecter de nouveaux talents.,non,non
scribain,"Coffre sur console, au milieu duquel est une espèce de tabernacle intérieurement très orné, où se serraient l’argent, les titres, les parchemins ; le reste est en tiroirs.",non,non
section,Subdivision des communes correspondant aux anciennes communes avant la fusion des communes.,non,oui
septantaine,"ou Nombre d’environ septante, soixante-dix. | ou Âge de septante ans, ou allant de septante à quatre-vingts ans.",non,non
septantaines,Pluriel de septantaine.,non,non
septante,70.,non,oui
septante-cinq,75.,non,non
septante-deux,72.,non,non
septante-et-un,71.,non,oui
septante-huit,78.,non,non
septante-neuf,79.,non,non
septante-quatre,74.,non,non
septante-sept,77.,non,non
septante-six,76.,non,non
septante-trois,"73, soixante-treize.",non,non
septantenaire,Qui a soixante-dix ans.,non,oui
septentenaire,Variante de septantenaire.,non,oui
simoniser,Polir une carrosserie.,non,non
singlet,Maillot de corps.,non,oui
siroperie,Fabrique de sirops.,non,non
sketter,"Casser, fatiguer.",non,non
slache,"Sandale, pantoufle souvent usée.",non,non
slash,"Tong, sandale.",non,oui
smogler,Faire de la contrebande.,non,non
smoutebolle,Beignet.,non,non
sonner,Téléphoner.,non,oui
sorteur,Videur de boite de nuit.,non,oui
sorteux,Terme du métier de filtier. Individu chargé par ses camarades d'aller chercher des provisions pour le déjeuner et le rechenner.,non,oui
sottais,"Nain ou lutin de légendes wallonnes, en particulier en pays minier.",non,oui
souche,Ticket mentionnant les données d’un achat.,non,oui
soumonce,"Journée de fête, préliminaire au carnaval, propre au Hainaut.",non,non
souper,Prendre le repas du soir. Repas du soir.,non,oui
speedgun,Outil de mesure de vitesse utilisé dans certains pays européens.,non,non
sperman,Surnom humoristique des donneurs de sperme du Centre de la Reproduction Humaine,non,non
spiringue,Échine de porc issue de la partie antérieure de la longe.,non,non
spitant,"Qui pétille, qui éclabousse. Plein d’énergie, vif",non,oui
spitter,Éclabousser.,non,oui
spiture,Éclaboussure.,non,oui
splitser,"Diviser, découper en deux.",non,non
splotcher,"Éclabousser, écraser en éclaboussant.",non,non
sploutcher,"Éclabousser, écraser en éclaboussant.",non,non
spotcher,Écraser.,non,oui
sproutcher,Vaporiser un liquide.,non,non
spécial,Demi-baguette dans laquelle on met des frites et une viande cuite à la friture.,non,oui
spéculoos,"Biscuit ou gâteau sec de froment agrémenté de cassonade et parfumé d’épices (en particulier de cannelle), qui était traditionnellement moulée en forme de personnages, d’animaux ou d’objets.",non,non
