graine,score_AVANCE,score_CHAMPION_DU_MONDE,vainqueur,a_commence,tours
94,204,238,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
95,199,211,CHAMPION_DU_MONDE,AVANCE,32
96,256,381,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
97,215,324,CHAMPION_DU_MONDE,AVANCE,39
98,121,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,22
99,196,314,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,36
100,233,220,AVANCE,CHAMPION_DU_MONDE,35
101,269,284,CHAMPION_DU_MONDE,AVANCE,43
102,175,247,CHAMPION_DU_MONDE,AVANCE,32
103,208,394,CHAMPION_DU_MONDE,AVANCE,40
104,223,441,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
105,258,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
106,206,313,CHAMPION_DU_MONDE,AVANCE,46
107,217,226,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
108,208,268,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
109,252,361,CHAMPION_DU_MONDE,AVANCE,36
110,291,395,CHAMPION_DU_MONDE,AVANCE,39
111,214,349,CHAMPION_DU_MONDE,AVANCE,41
112,309,377,CHAMPION_DU_MONDE,AVANCE,40
113,248,303,CHAMPION_DU_MONDE,AVANCE,38
114,83,135,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,23
115,233,427,CHAMPION_DU_MONDE,AVANCE,40
116,304,312,CHAMPION_DU_MONDE,AVANCE,41
117,167,256,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,31
118,164,275,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
119,248,313,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
120,162,404,CHAMPION_DU_MONDE,AVANCE,41
121,190,380,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
122,155,132,AVANCE,CHAMPION_DU_MONDE,30
123,226,317,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,49
124,322,295,AVANCE,AVANCE,44
125,237,257,CHAMPION_DU_MONDE,AVANCE,30
126,270,236,AVANCE,AVANCE,47
127,220,320,CHAMPION_DU_MONDE,AVANCE,32
128,313,397,CHAMPION_DU_MONDE,AVANCE,43
129,190,207,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
130,153,313,CHAMPION_DU_MONDE,AVANCE,30
131,172,296,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
132,287,233,AVANCE,AVANCE,45
133,212,349,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
134,263,352,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
135,298,357,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
136,324,316,AVANCE,CHAMPION_DU_MONDE,51
137,158,215,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,32
138,246,267,CHAMPION_DU_MONDE,AVANCE,45
139,221,347,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
140,282,373,CHAMPION_DU_MONDE,AVANCE,40
141,238,301,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,55
142,230,395,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,49
143,318,303,AVANCE,CHAMPION_DU_MONDE,42
