graine,score_CHAMPION_DU_MONDE[malus=-25],score_CHAMPION_DU_MONDE[malus=0],vainqueur,a_commence,tours
64,274,223,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],28
65,426,302,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],40
66,348,267,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
67,176,192,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],30
68,306,282,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],43
69,166,262,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],26
70,309,236,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
71,249,314,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],48
72,150,169,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],21
73,202,253,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
74,385,359,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],36
75,310,400,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],51
76,304,361,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
77,195,240,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
78,353,389,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
79,329,282,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],45
80,374,256,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],43
81,213,272,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],38
82,207,286,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],34
83,268,289,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],35
84,265,341,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],45
85,427,371,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],48
86,323,395,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],46
87,368,294,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
88,371,269,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],47
89,189,254,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
90,139,200,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],21
91,406,298,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],42
92,334,266,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
93,211,139,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],20
94,166,214,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],20
95,170,177,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],34
96,385,439,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],41
97,430,298,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],50
98,227,506,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],37
99,279,287,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],40
100,310,266,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],43
101,278,317,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],43
102,264,264,nul,CHAMPION_DU_MONDE[malus=-25],43
103,346,362,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],50
104,236,246,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],24
105,299,306,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],46
106,325,372,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],40
107,248,286,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
108,246,230,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],21
109,140,218,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],25
110,249,232,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],33
111,265,289,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],48
112,393,333,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],40
113,321,291,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],35
114,278,174,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],28
115,166,173,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],26
116,306,305,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],42
117,355,311,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],43
118,320,290,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
119,239,230,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],32
120,228,382,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],36
121,151,193,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],29
122,323,280,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],43
123,374,201,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],29
124,315,261,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
125,375,377,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],37
126,309,276,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],48
127,358,375,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
128,332,427,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],39
129,113,181,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
130,395,401,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],40
131,271,313,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],34
132,157,197,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],24
133,199,275,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],39
134,411,364,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],48
135,297,309,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],40
136,279,255,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],31
137,298,447,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],45
138,308,321,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],38
139,298,340,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
140,292,364,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],45
141,326,249,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],48
142,372,254,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],34
143,261,300,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],39
144,262,351,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],37
145,307,324,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],37
146,380,200,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],35
147,212,309,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
148,275,342,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],44
149,285,349,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],38
150,249,263,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],43
151,173,158,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],29
152,311,336,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
153,354,284,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],40
154,292,364,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
155,357,308,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],37
156,383,394,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],36
157,218,178,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],25
158,285,332,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],36
159,278,255,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],47
160,357,412,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],50
161,269,342,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],37
162,360,345,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],42
163,240,250,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],40
164,176,202,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],31
165,317,404,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],45
166,236,330,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],44
167,336,233,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],39
168,282,253,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
169,333,276,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],42
170,203,294,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],31
171,210,250,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],36
172,291,316,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],38
173,284,342,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],38
174,269,335,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],34
175,383,291,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],41
176,172,178,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],24
177,230,298,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],37
178,214,238,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],28
179,243,172,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],31
180,165,189,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],28
181,380,288,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],40
182,289,328,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],48
183,361,337,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],43
184,291,296,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],48
185,287,256,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],39
186,209,250,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],26
187,144,346,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],30
188,344,250,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],35
189,299,353,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
190,248,347,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],37
191,202,281,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],36
192,332,199,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],30
193,299,371,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],38
194,339,298,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
195,351,306,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],49
196,165,260,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],27
197,199,210,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],35
198,280,247,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],37
199,352,274,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],48
